X,Y
367938.691810002,5271339.66341429
367939.630439285,5271342.54969933
367940.702041049,5271344.88062871
367942.477614775,5271346.21035353
367944.816366071,5271347.68869465
367947.585322455,5271349.02624138
367950.704309342,5271349.59724086
367954.40993953,5271350.08806576
367957.648210555,5271349.82212079
367960.984255464,5271349.79865506
367965.137690039,5271349.39582666
367968.89220717,5271348.58821438
367972.609570224,5271348.18147503
367975.300307501,5271347.67305083
367978.233524009,5271347.14116091
367981.401397838,5271346.53887378
367984.193819954,5271345.40469673
367987.001885891,5271344.09061574
367990.326197933,5271341.87701501
367993.009113299,5271340.01540027
367995.28528931,5271338.47448387
367997.827410283,5271336.53465001
368000.721517238,5271334.23500827
368003.380966872,5271331.79457214
368005.391197919,5271329.04908149
368007.119840181,5271326.52260433
368008.574715569,5271323.83968897
368009.130071228,5271322.17362199
368009.012742568,5271319.983487
368008.801550979,5271317.41790029
368007.377963234,5271314.61765627
368005.946553578,5271311.87216561
368003.052446623,5271308.05116224
368001.574105503,5271306.93262901
367999.035895485,5271305.10621287
367996.067480379,5271303.65915939
367993.603578512,5271302.6071124
367990.748581111,5271301.84447611
367987.917049441,5271300.87847014
367984.756997523,5271300.35440212
367981.909822033,5271300.15885436
367980.28286461,5271300.54994989
367978.460359419,5271301.15223701
367976.145073856,5271301.84056515
367974.48682879,5271303.1155366
367973.282254544,5271305.25091821
367971.772625781,5271307.98076504
367970.114380715,5271309.67420871
367968.589108131,5271310.21000959
367966.797890583,5271310.26867392
367964.654687054,5271310.64803659
367962.636634097,5271312.07944624
367960.207930828,5271313.72204749
367958.444089968,5271316.11946312
367957.525015462,5271318.52665613
367957.036146044,5271320.86149647
367957.04787891,5271323.27064496
367958.393247548,5271324.90151334
367960.356547131,5271325.98875893
367962.601435499,5271326.76703904
367965.867083211,5271326.76703904
367968.190190685,5271326.01222466
367970.599339177,5271325.14008162
367972.824672768,5271323.20806968
367975.06565018,5271322.30072804
367977.380935744,5271322.10126932
367979.273838131,5271322.61360447
367980.619206769,5271323.85728827
367982.062349291,5271325.24567741
367983.360786465,5271326.68099802
367985.026853442,5271328.11240768
367986.33897896,5271329.6963446
367986.22947221,5271331.94905487
367984.712021537,5271333.84977917
367983.014666917,5271334.85098374
367980.984881094,5271335.76223634
367978.657862664,5271336.60309173
367976.596789198,5271337.2718651
367973.616641225,5271337.9289056
367970.910260127,5271338.40604215
367967.797139673,5271338.42950788
367965.012539468,5271336.9824544
367963.041417975,5271336.12204423
367960.538406555,5271335.02697673
367958.121436152,5271334.127457
367955.657534285,5271333.22793727
367953.365714453,5271332.77426645
367950.886168765,5271332.64911588
367947.968596079,5271332.23455462
367945.637666693,5271331.92167819
367942.743559739,5271332.3675271
367940.420452264,5271333.9788407
367939.020330251,5271336.56789314
