X,Y
367943.400600237,5271338.51163794
367944.049818824,5271341.09286847
367945.183995874,5271343.11092142
367946.16173471,5271344.15905746
367947.538390991,5271344.94124853
367949.470402931,5271345.53571374
367952.341044153,5271346.16146659
367954.539001057,5271346.38048009
367957.503505208,5271346.40394582
367961.211090874,5271346.05978175
367965.114224307,5271345.74690533
367968.743590867,5271345.2854126
367972.138300105,5271344.68312547
367974.797749739,5271344.36242714
367977.335959758,5271343.79924957
367979.721642518,5271343.42770881
367981.958708975,5271342.73155876
367984.000227664,5271341.7029775
367986.174718836,5271340.62355383
367988.587778283,5271339.09437029
367991.067323971,5271337.18973503
367992.995424956,5271335.59797621
367995.146450395,5271333.90062159
367998.118776457,5271331.6400894
368000.613965966,5271329.5203516
368002.628107968,5271326.7357514
368005.244537094,5271322.58231682
368005.342310977,5271320.68159252
368005.021612639,5271318.24115639
368004.12209291,5271324.5104178
368004.086894312,5271315.82418598
368002.721970896,5271313.48934564
368000.273712851,5271310.7516769
367998.830570329,5271309.16773999
367996.757763997,5271308.08831632
367993.824547488,5271306.6881943
367990.77400232,5271305.52272961
367987.70781333,5271304.31815536
367985.110938982,5271304.00527894
367983.16328322,5271303.78626544
367981.278202745,5271303.79408735
367978.587465468,5271304.52152504
367977.171699633,5271305.27242847
367976.037522583,5271307.09493366
367975.216221961,5271308.98783604
367974.363633696,5271310.86509461
367972.666279077,5271312.36690146
367970.687335673,5271313.53236615
367968.317296734,5271313.89217405
367966.314887598,5271314.30673531
367964.531491961,5271314.74476231
367962.873246895,5271315.49566574
367961.387083864,5271317.49025296
367961.105495079,5271319.81336044
367961.23064565,5271321.55764652
367962.403932254,5271322.51191962
367964.554957693,5271322.37112523
367966.784202239,5271322.35548141
367968.896118125,5271321.30734538
367970.679513762,5271320.27485317
367972.838361112,5271319.14849803
367975.278797247,5271318.1081839
367977.562795167,5271317.89699232
367979.901546463,5271318.62443001
367982.107325277,5271320.0089082
367984.043248173,5271321.72190664
367985.635006998,5271323.79080202
367987.637416134,5271325.73063587
367989.221353049,5271327.58051775
367990.09349609,5271329.96620051
367990.230379527,5271331.91385627
367990.081763224,5271333.30615637
367989.534229476,5271334.77667558
367988.454805801,5271335.94996219
367987.085971431,5271337.59842987
367985.505945472,5271338.53314819
367983.92787499,5271338.67198711
367981.722096176,5271339.29578448
367979.852659522,5271339.907849
367976.970285433,5271340.80345777
367973.890408099,5271341.95914507
367970.878972484,5271342.37370634
367968.055262726,5271342.13904902
367965.380169271,5271341.56022763
367962.884979761,5271340.41822867
367960.272461591,5271339.15107914
367958.184011437,5271337.90348438
367956.322396693,5271337.1134714
367953.827207184,5271336.76930733
367951.011319336,5271336.31172556
367948.179787667,5271335.88152047
367946.024851272,5271336.13182161
367943.948133985,5271336.68717727
